subentry,measure,reaction,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"10884002","CS","N,TOT","Cross section for 9Be(n,Total)","1.0603","13.901","3250","True","G.F.Auchampaugh,S.Plattard,N.W.Hill","1979","Nuclear Science and Engineering 69,30 (1979); Private communication: Auchampaugh  (1979)"
"11011003","CS","N,TOT","Cross section for 9Be(n,Total)","0.053","0.851","796","False","E.G.Bilpuch,J.A.Farrell,G.C.Kyker,P.B.Parks,H.W.Newson","1961","Progress report: WASH-1034 10 (1961); Progress report: WASH-1033 12 (1961)"
"11011004","CS","N,TOT","Cross section for 9Be(n,Total)","0.58","0.825","102","False","E.G.Bilpuch,J.A.Farrell,G.C.Kyker,P.B.Parks,H.W.Newson","1961","Progress report: WASH-1034 10 (1961); Progress report: WASH-1033 12 (1961)"
"11041003","CS","N,TOT","Cross section for 9Be(n,Total)","13.9","13.9","1","True","A.H.Lasday","1951","Physical Review 81,139 (1951)"
"11048004","CS","N,TOT","Cross section for 9Be(n,Total)","1.37","3.35","117","False","C.K.Bockelman,D.W.Miller,R.K.Adair,H.H.Barschall","1951","Physical Review 84,69 (1951)"
"11057004","CS","N,TOT","Cross section for 9Be(n,Total)","14.0","14.0","1","True","L.S.Goodman","1952","Physical Review 88,686 (1952)"
"11058004","CS","N,A","Cross section for 9Be(n,alpha)6He","14.1","14.1","1","True","M.E.Battat,F.L.Ribe","1953","Physical Review 89,80 (1953)"
"11060003","CS","N,TOT","Cross section for 9Be(n,Total)","2.6","13.92","33","True","N.Nereson,S.Darden","1953","Physical Review 89,775 (1953)"
"11074005","CS","N,TOT","Cross section for 9Be(n,Total)","14.1","18.0","8","True","C.F.Cook,T.W.Bonner","1954","Physical Review 94,651 (1954)"
"11093003","CS","N,TOT","Cross section for 9Be(n,Total)","4.35","8.735","97","True","R.L.Becker,H.H.Barschall","1956","Physical Review 102,1384 (1956)"
"11108006","CS","N,TOT","Cross section for 9Be(n,Total)","17.5","17.5","4","True","J.M.Peterson,A.Bratenahl,J.P.Stoering","1960","Physical Review 120,521 (1960)"
"11155006","CS","N,TOT","Cross section for 9Be(n,Total)","6.83","14.11","5","True","A.Bratenahl,J.M.Peterson,J.P.Stoering","1958","Physical Review 110,927 (1958)"
"11178003","CS","N,TOT","Cross section for 9Be(n,Total)","0.9","0.9","1","True","W.E.Good,G.Scharrf-Goldhaber","1941","Physical Review 59,917(19) (1941)"
"11184003","CS","N,G","Spectrum average Cross section for 9Be(n,gamma)10Be","2.53e-08","2.53e-08","1","False","R.Nobles,J.Wallace","1947","Report other than progress report: ANL-4076 10 (1947)"
"11192002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","2.48","3.46","91","True","J.S.Levin,L.Cranberg","1960","Progress report: WASH-1029 44 (1960)"
"11192003","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","2.48","3.46","6","True","J.S.Levin,L.Cranberg","1960","Progress report: WASH-1029 44 (1960)"
"11192004","CS","N,TOT","Cross section for 9Be(n,Total)","2.48","4.1","7","True","J.S.Levin,L.Cranberg","1960","Progress report: WASH-1029 44 (1960)"
"11192005","CS","N,NON","Cross section for 9Be(n,Nonelastic)","2.48","4.1","7","True","J.S.Levin,L.Cranberg","1960","Progress report: WASH-1029 44 (1960)"
"11194002","CS","N,A","Cross section for 9Be(n,alpha)6He","4.06","5.82","5","True","R.Bass,T.W.Bonner,H.P.Haenni","1961","Nuclear Physics 23,122 (1961)"
"11194003","CS","N,A","Cross section for 9Be(n,alpha)6He","3.91","8.58","56","True","R.Bass,T.W.Bonner,H.P.Haenni","1961","Nuclear Physics 23,122 (1961)"
"11201003","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","0.45","1.5","33","False","J.P.Chien,A.B.Smith","1966","Nuclear Science and Engineering 26,500 (1966)"
"11204002","CS","N,G","Cross section for 9Be(n,gamma)10Be","2.53e-08","2.53e-08","1","True","H.Palevsky,R.R.Smith","1952","Private communication: Palevsky  (1952)"
"11204003","CS","N,TOT","Cross section for 9Be(n,Total)","2.91e-10","6.42e-09","47","False","H.Palevsky,R.R.Smith","1952","Private communication: Palevsky  (1952)"
"11204004","CS","N,TOT","Cross section for 9Be(n,Total)","6.2e-10","2.29e-09","12","False","H.Palevsky,R.R.Smith","1952","Private communication: Palevsky  (1952)"
"11204005","CS","N,TOT","Cross section for 9Be(n,Total)","8.4e-10","3.38e-09","23","False","H.Palevsky,R.R.Smith","1952","Private communication: Palevsky  (1952)"
"11207002","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","3.0","7.0","8","True","D.D.Phillips","1960","Progress report: WASH-1028 29 (1960)"
"11207003","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","3.0","7.0","109","True","D.D.Phillips","1960","Progress report: WASH-1028 29 (1960)"
"11208002","CS","N,TOT","Cross section for 9Be(n,Total)","0.225","1.443","89","False","C.K.Bockelman","1950","Physical Review 80,1011 (1950)"
"11214003","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","0.54","0.7","3","False","H.B.Willard,J.K.Blair,J.D.Kington","1955","Physical Review 98,669 (1955)"
"11214004","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.54","0.7","26","True","H.B.Willard,J.K.Blair,J.D.Kington","1955","Physical Review 98,669 (1955)"
"11215002","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","4.1","4.1","1","True","M.Walt,J.R.Beyster","1955","Physical Review 98,677 (1955)"
"11215003","CS","N,NON","Cross section for 9Be(n,Nonelastic)","4.1","4.1","1","True","M.Walt,J.R.Beyster","1955","Physical Review 98,677 (1955)"
"11215004","CS","N,TOT","Cross section for 9Be(n,Total)","4.1","4.1","1","False","M.Walt,J.R.Beyster","1955","Physical Review 98,677 (1955)"
"11215005","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","4.1","4.1","11","True","M.Walt,J.R.Beyster","1955","Physical Review 98,677 (1955)"
"11216002","CS","N,NON","Cross section for 9Be(n,Nonelastic)","4.07","4.07","1","True","J.R.Beyster,R.L.Henkel,R.A.Nobles,J.M.Kister","1955","Physical Review 98,1216 (1955)"
"11217002","CS","N,NON","Cross section for 9Be(n,Nonelastic)","12.7","14.1","2","True","H.L.Taylor,O.Lonsjo,T.W.Bonner","1955","Physical Review 100,174 (1955); Physical Review 101,1835(2) (1956)"
"11220002","CS","N,NON","Cross section for 9Be(n,Nonelastic)","7.0","7.0","1","True","J.R.Beyster,M.Walt,E.W.Salmi","1956","Physical Review 104,1319 (1956)"
"11220003","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","7.0","7.0","8","True","J.R.Beyster,M.Walt,E.W.Salmi","1956","Physical Review 104,1319 (1956)"
"11221002","CS","N,TOT","Cross section for 9Be(n,Total)","3.78","8.09","41","False","R.O.Bondelid,K.L.Dunning,F.L.Talbott","1957","Physical Review 105,193 (1957)"
"11222002","CS","N,A","Cross section for 9Be(n,alpha)6He","2.26","4.41","3","True","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11222003","CS","N,A","Cross section for 9Be(n,alpha)6He","2.41","2.41","1","True","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11222004","CS","N,A","Cross section for 9Be(n,alpha)6He","3.11","3.11","1","True","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11222005","CS","N,A","Cross section for 9Be(n,alpha)6He","3.11","3.11","1","True","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11222006","CS","N,A","Cross section for 9Be(n,alpha)6He","0.6","3.03","32","True","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11222007","CS","N,A","Cross section for 9Be(n,alpha)6He","0.52","2.16","26","True","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11222008","CS","N,A","Cross section for 9Be(n,alpha)6He","1.66","4.43","48","False","P.H.Stelson,E.C.Campbell","1957","Physical Review 106,1252 (1957)"
"11224002","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","0.03","1.45","20","True","A.Langsdorf Jr,R.O.Lane,J.E.Monahan","1957","Physical Review 107,1077 (1957)"
"11224003","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.03","1.45","100","False","A.Langsdorf Jr,R.O.Lane,J.E.Monahan","1957","Physical Review 107,1077 (1957)"
"11226002","CS","N,NON","Cross section for 9Be(n,Nonelastic)","14.2","14.2","1","True","M.H.Macgregor,W.P.Ball,R.Booth","1957","Physical Review 108,726 (1957); Nucl. Phys. Congress,Paris 1958 ,612 (1958)"
"11228002","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","14.0","14.0","1","True","M.P.Nakada,J.D.Anderson,C.C.Gardner,C.Wong","1958","Physical Review 110,1439 (1958)"
"11228003","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.0","14.0","21","True","M.P.Nakada,J.D.Anderson,C.C.Gardner,C.Wong","1958","Physical Review 110,1439 (1958)"
"11231002","CS","N,T","Cross section for 9Be(n,t)7Li","14.1","14.1","1","True","M.E.Wyman,E.M.Fryer,M.Thorpe","1958","Physical Review 112,1264 (1958)"
"11232002","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","4.1","6.0","3","True","J.B.Marion,J.S.Levin,L.Cranberg","1959","Physical Review 114,1584 (1959)"
"11232005","CS","N,NON","Cross section for 9Be(n,Nonelastic)","5.0","6.0","2","True","J.B.Marion,J.S.Levin,L.Cranberg","1959","Physical Review 114,1584 (1959)"
"11232007","CS","N,TOT","Cross section for 9Be(n,Total)","5.0","6.0","2","True","J.B.Marion,J.S.Levin,L.Cranberg","1959","Physical Review 114,1584 (1959)"
"11232009","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","4.1","6.0","30","False","J.B.Marion,J.S.Levin,L.Cranberg","1959","Physical Review 114,1584 (1959)"
"11236002","CS","N,P","Cross section for 9Be(n,p)9Li","15.5","15.5","1","True","D.E.Alburger","1963","Physical Review 132,328 (1963)"
"11237003","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","0.207","0.905","31","True","R.O.Lane,A.J.Elwyn,A.Langsdorf Jr","1964","Physical Review 133,B409 (1964)"
"11237004","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.2","0.9","135","False","R.O.Lane,A.J.Elwyn,A.Langsdorf Jr","1964","Physical Review 133,B409 (1964)"
"11242002","CS","N,TOT","Cross section for 9Be(n,Total)","0.5055","0.85","59","False","P.H.Stelson","1954","Private communication: Stelson  (1954)"
"11244002","CS","N,TOT","Cross section for 9Be(n,Total)","0.001115","0.055","57","False","C.T.Hibdon,A.Langsdorf","1955","Physical Review 98,223(B3) (1955); Progress report: ANL-5174 43 (1954); Private communication: Hibdon  (1954)"
"11247002","CS","N,G","Spectrum average Cross section for 9Be(n,gamma)10Be","2.53e-08","2.53e-08","1","True","D.J.Hughes,C.Eggler,C.M.Huddleston","1947","Physical Review 71,269 (1947)"
"11249002","CS","N,TOT","Cross section for 9Be(n,Total)","0.0105","0.095","20","True","R.K.Adair,H.H.Barschall,C.K.Bockelman,O.Sala","1949","Physical Review 75,1124 (1949)"
"11251002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.546","0.895","190","False","R.O.Lane,J.E.Monahan","1956","Progress report: ANL-5554 22 (1956); Bulletin of the American Physical Society 1,187(K1) (1956)"
"11251004","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","0.546","0.895","38","False","R.O.Lane,J.E.Monahan","1956","Progress report: ANL-5554 22 (1956); Bulletin of the American Physical Society 1,187(K1) (1956)"
"11252002","CS","N,TOT","Cross section for 9Be(n,Total)","1.911","4.555","185","True","J.L.Fowler,H.O.Cohn","1959","Progress report: ORNL-2718 16 (1959); Nuclear Cross-Sections Techn. Conf.,Washington 1968 2,851 (1968)"
"11252003","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.73","2.92","90","True","J.L.Fowler,H.O.Cohn","1959","Progress report: ORNL-2718 16 (1959); Nuclear Cross-Sections Techn. Conf.,Washington 1968 2,851 (1968)"
"11256002","CS","N,TOT","Cross section for 9Be(n,Total)","3.381","16.0","170","True","D.B.Fossan,R.L.Walter,W.E.Wilson,H.H.Barschall","1961","Physical Review 123,209 (1961)"
"11256003","CS","N,TOT","Cross section for 9Be(n,Total)","10.07","15.92","81","True","D.B.Fossan,R.L.Walter,W.E.Wilson,H.H.Barschall","1961","Physical Review 123,209 (1961)"
"11257002","CS","N,NON","Cross section for 9Be(n,Nonelastic)","7.0","11.2","4","True","W.P.Ball,M.Macgregor,R.Booth","1958","Physical Review 110,1392 (1958); Nucl. Phys. Congress,Paris 1958 ,612 (1958)"
"11258002","CS","N,TOT","Cross section for 9Be(n,Total)","0.0111","1.047","29","False","L.J.Rainwater,W.W.Havens Jr","1944","Report other than progress report: CP-2269  (1944)"
"11258003","CS","N,TOT","Cross section for 9Be(n,Total)","0.846","1.946","16","False","L.J.Rainwater,W.W.Havens Jr","1944","Report other than progress report: CP-2269  (1944)"
"11258004","CS","N,TOT","Cross section for 9Be(n,Total)","0.707","4.783","38","False","L.J.Rainwater,W.W.Havens Jr","1944","Report other than progress report: CP-2269  (1944)"
"11260002","CS","N,TOT","Cross section for 9Be(n,Total)","0.024","0.83","6","False","R.Fields,B.Russell,D.Sachs,A.Wattenberg","1947","Physical Review 71,508 (1947)"
"11261002","CS","N,TOT","Cross section for 9Be(n,Total)","0.00012","0.000345","2","False","C.T.Hibdon,C.O.Muehlhause","1949","Physical Review 76,100 (1949)"
"12524004","CS","N,TOT","Cross section for 9Be(n,Total)","14.12","14.12","1","True","J.H.Coon,E.R.Graves,H.H.Barschall","1952","Physical Review 88,562 (1952); Report other than progress report: LA-1446  (1952)"
"12593003","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","1.5","1.5","1","False","E.Fermi,L.Marshall","1947","Physical Review 71,666 (1947)"
"12935002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.6","14.6","15","True","L.F.Hansen,F.S.Dietrich,B.A.Pohl,C.H.Poppe,C.Wong","1985","Physical Review,Part C,Nuclear Physics 31,111 (1985)"
"12939004","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","10.962","16.887","72","True","J.A.Templon,J.H.Dave,C.R.Gould,S.Singkarat","1985","Nuclear Science and Engineering 91,451 (1985)"
"12939005","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","10.962","16.887","3","True","J.A.Templon,J.H.Dave,C.R.Gould,S.Singkarat","1985","Nuclear Science and Engineering 91,451 (1985)"
"12983002","CS","N,G","Cross section for 9Be(n,gamma)10Be","2.5299999999999998e-08","2.5299999999999998e-08","1","True","C.M.Conneely,W.V.Prestwich,T.J.Kennett","1986","Nucl. Instrum. Methods in Physics Res.,Sect.A 248,416 (1986)"
"13154002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","4.5","9.999001","563","True","M.Sugimoto,P.T.Guenther,J.E.Lynn,A.B.Smith,J.F.Whalen","1989","Nuclear Science and Engineering 103,37 (1989)"
"13154004","CS","N,EL","Cross section for 9Be(n,Elastic)9Be","4.5","10.0","12","True","M.Sugimoto,P.T.Guenther,J.E.Lynn,A.B.Smith,J.F.Whalen","1989","Nuclear Science and Engineering 103,37 (1989)"
"13154006","CS","N,TOT","Cross section for 9Be(n,Total)","1.0","10.84","580","True","M.Sugimoto,P.T.Guenther,J.E.Lynn,A.B.Smith,J.F.Whalen","1989","Nuclear Science and Engineering 103,37 (1989)"
"13569002","CS","N,TOT","Cross section for 9Be(n,Total)","5.29253","19.8124","474","True","R.W.Finlay,W.P.Abfalterer,G.Fink,E.Montei,T.Adami,P.W.Lisowski,G.L.Morgan,R.C.Haight","1993","Physical Review,Part C,Nuclear Physics 47,237 (1993)"
"13733002","CS","N,TOT","Cross section for 9Be(n,Total)","1.5231e-09","9.7266e-06","1124","True","J.A.Harvey,H.A.Mook,N.W.Hill,O.Shahal","1982","Conf.on Nucl.Data for Sci.and Technol.,Antwerp 1982 ,961 (1982)"
"13861002","DA","N,EL","times 4 pi Differential c/s with respect to angle for 9Be(n,Elastic)9Be","0.2","1.5","3","False","H.H.Barschall,M.E.Battat,W.C.Bright,E.R.Graves,T.Jorgensen,J.H.Manley","1947","Physical Review 72,881 (1947)"
"13874002","CS","N,TOT","Cross section for 9Be(n,Total)","1.5008e-09","1.5276e-06","3830","True","J.A.Harvey","1982","Private communication: Harvey  (1982)"
"14154003","CS","N,TOT","Cross section for 9Be(n,Total)","0.023969999999999998","0.9418","20","True","Y.Danon,R.C.Block,M.Rapp,F.Saglime,D.P.Barry,N.J.Drindak,J.Hoole,G.Leinweber","2007","Conf.on Nucl.Data for Sci. and Technology,Nice 2007 1,401 (2007)"
"14154004","CS","N,TOT","Cross section for 9Be(n,Total)","0.023870000000000002","0.9418","20","True","Y.Danon,R.C.Block,M.Rapp,F.Saglime,D.P.Barry,N.J.Drindak,J.Hoole,G.Leinweber","2007","Conf.on Nucl.Data for Sci. and Technology,Nice 2007 1,401 (2007)"
"14154005","CS","N,TOT","Cross section for 9Be(n,Total)","0.023969999999999998","0.9380000000000001","20","True","Y.Danon,R.C.Block,M.Rapp,F.Saglime,D.P.Barry,N.J.Drindak,J.Hoole,G.Leinweber","2007","Conf.on Nucl.Data for Sci. and Technology,Nice 2007 1,401 (2007)"
"14189014","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","9.0","9.0","23","False","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189015","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","10.0","10.0","27","False","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189016","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","11.0","11.0","28","False","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189017","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","12.0","12.0","26","False","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189018","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","13.0","13.0","24","False","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189019","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.0","14.0","17","False","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14189020","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","15.0","15.0","24","True","J.H.Dave,C.R.Gould","1983","Physical Review,Part C,Nuclear Physics 28,2212 (1983)"
"14233003","CS","N,TOT","Average Cross section for 9Be(n,Total)","0.0238365","0.9476230000000001","20","True","Y.Danon,R.C.Block,M.J.Rapp,F.J.Saglime,G.Leinweber,D.P.Barry,N.J.Drindak,J.G.Hoole","2009","Nuclear Science and Engineering 161,321 (2009)"
"14349002","CS","N,TOT","Cross section for 9Be(n,Total)","0.4","19.97","6119","True","M.J.Rapp,Y.Danon,F.J.Saglime,R.M.Bahran,D.G.Williams,G.Leinweber,D.P.Barry,R.C.Block","2012","Nuclear Science and Engineering 172,268 (2012)"
"14349003","CS","N,TOT","Cross section for 9Be(n,Total)","0.4","19.97","6119","True","M.J.Rapp,Y.Danon,F.J.Saglime,R.M.Bahran,D.G.Williams,G.Leinweber,D.P.Barry,R.C.Block","2012","Nuclear Science and Engineering 172,268 (2012)"
"14349004","CS","N,TOT","Cross section for 9Be(n,Total)","0.4","19.97","6086","True","M.J.Rapp,Y.Danon,F.J.Saglime,R.M.Bahran,D.G.Williams,G.Leinweber,D.P.Barry,R.C.Block","2012","Nuclear Science and Engineering 172,268 (2012)"
"20150002","CS","N,A","Partial cross section for 9Be(n,alpha)6He","8.5","19.8","41","False","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20150005","DA","N,A","Partial differential cross section d/dA for 9Be(n,alpha)6He","8.0","19.8","47","True","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20150006","DA","N,A","Partial differential cross section d/dA for 9Be(n,alpha)6He","8.0","19.8","47","True","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20150007","DA","N,A","Partial differential cross section d/dA for 9Be(n,alpha)6He","8.5","19.8","45","True","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20150008","DA","N,A","Partial differential cross section d/dA for 9Be(n,alpha)6He","11.0","19.8","35","True","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20150009","DA","N,A","Partial differential cross section d/dA for 9Be(n,alpha)6He","11.75","19.8","32","True","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20150010","DA","N,A","Partial differential cross section d/dA for 9Be(n,alpha)6He","18.4","19.8","16","True","L.Kropp,P.Forti","1970","Report other than progress report: KFK-1190  (1970); Thesis or dissertation: Kropp  (1970); Progress report: EANDC(E)-127U  (1970); Private communication: Kropp  (1971)"
"20265002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.5","14.5","10","True","E.Arai","1971","Private communication: Arai  (1971)"
"20271002","DA","N,EL","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.1","14.1","17","True","M.Hyakutake,M.Matoba,H.Tawara,Y.Kanda,A.Katase,M.Sonoda","1969","Progress report: EANDC(J)-13 31 (1969); Private communication: Sonoda  (1971)"
"20353003","CS","N,NON","Cross section for 9Be(n,Nonelastic)","2.464","3.924","9","True","D.R.Weaver,J.Walker","1974","Jour. of Physics,Part D (Applied Physics) 7,1122 (1974); Nuclear Cross-Sections Techn. Conf.,Washington 1968 1,169 (1968)"
"20368003","CS","N,NON","Cross section for 9Be(n,Nonelastic)","2.3","5.2","7","True","J.R.P.Eaton,J.Walker","1968","Nuclear Cross-Sections Techn. Conf.,Washington 1968 1,169 (1968)"
"20420002","CS","N,TOT","Cross section for 9Be(n,Total)","0.0235","0.0235","1","True","R.C.Block,Y.Fujita,K.Kobayashi,T.Oosaki","1975","J. of Nuclear Science and Technology,Tokyo 12,1 (1975)"
"20480024","CS","N,TOT","Cross section for 9Be(n,Total)","0.122","1.2","263","True","J.Cabe,M.Cance","1973","Report other than progress report: CEA-R-4524  (1973); Progress report: EANDC(E)-150  (1972); Progress report: EANDC(E)-140  (1971); Nuclear Data for Reactors Conf.,Helsinki 1970 2,31 (1970); Journal de Physique - Colloque 31,C2-217 (1970); Progress report: EANDC(E)-127  (1970); Progress report: EANDC(E)-115  (1969); Progress report: EANDC(E)-89  (1968); Nuclear Physics,Section A 102,92 (1967); Report other than progress report: CEA-R-3279  (1967); Nuclear Physics Colloquium,Bordeaux 1967 1,36 (1967); Journal de Physique 27,755 (1966); Progress report: EANDC(E)-57  (1965); Comptes Rendus,Serie B,Physique 259,4610 (1964); Comptes Rendus,Serie B,Physique 258,1478 (1964); Progress report: EANDC(E)-49  (1963)"
"20480025","CS","N,TOT","Cross section for 9Be(n,Total)","0.178","1.125","12","True","J.Cabe,M.Cance","1973","Report other than progress report: CEA-R-4524  (1973); Progress report: EANDC(E)-150  (1972); Progress report: EANDC(E)-140  (1971); Nuclear Data for Reactors Conf.,Helsinki 1970 2,31 (1970); Journal de Physique - Colloque 31,C2-217 (1970); Progress report: EANDC(E)-127  (1970); Progress report: EANDC(E)-115  (1969); Progress report: EANDC(E)-89  (1968); Nuclear Physics,Section A 102,92 (1967); Report other than progress report: CEA-R-3279  (1967); Nuclear Physics Colloquium,Bordeaux 1967 1,36 (1967); Journal de Physique 27,755 (1966); Progress report: EANDC(E)-57  (1965); Comptes Rendus,Serie B,Physique 259,4610 (1964); Comptes Rendus,Serie B,Physique 258,1478 (1964); Progress report: EANDC(E)-49  (1963)"
